Date,Source,Campaign,Spend,Clicks,Impressions,AdGroup,Ad
2023-08-24,Bloggers,,170.0,155,3387,,
2024-03-27,Bloggers,,170.0,94,33276,,
2023-07-08,Facebook Ads,04.07.23recentlymoved_DE,3.73,3,222,recentlymoved,b3
2023-07-08,Facebook Ads,05.07.23interests_DE,0.22,0,14,interest_programming – Copy,b4
2023-07-08,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v2
2023-07-08,Facebook Ads,05.07.23interests_DE,2.95,1,206,interest_work,b4
2024-05-16,Telegram posts,,170.0,177,2736,,
2023-07-08,Google Ads,performancemax_eng_DE,32.22,463,12723,,
2023-07-08,Facebook Ads,05.07.23interests_DE,3.55,5,290,interest_work,b2
2023-12-12,SMM,,165.0,27,0,,
2023-07-08,Facebook Ads,04.07.23recentlymoved_DE,0.01,0,3,recentlymoved,b1
2024-03-11,SMM,,155.0,41,0,,
2023-07-08,Facebook Ads,05.07.23interests_DE,0.0,0,1,interest_programming – Copy,b2
2024-06-13,SMM,,155.0,57,0,,
2023-07-08,Facebook Ads,04.07.23recentlymoved_DE,0.5,0,36,recentlymoved,b4
2023-07-08,Facebook Ads,07.07.23LAL_DE,0.36,3,33,LAL1,b2
2023-07-08,Facebook Ads,07.07.23LAL_DE,0.02,0,6,LAL1,b4
2023-07-08,Google Ads,gen_analyst_DE,54.16,52,234,,
2023-07-08,Facebook Ads,03.07.23women,0.0,0,1,women,b4
2023-07-08,Facebook Ads,05.07.23interests_DE,2.9,3,240,interest_work,b3
2023-07-08,Facebook Ads,05.07.23interests_DE,0.0,0,1,interest_dataanalytics – Copy,b3
2023-07-08,Facebook Ads,02.07.23wide_DE,0.17,2,23,wide,b2
2023-07-08,Facebook Ads,03.07.23women,0.07,0,21,women,b2
2023-07-08,Facebook Ads,05.07.23interests_DE,0.05,0,5,interest_programming – Copy,b3
2023-07-19,Bloggers,,150.0,135,2800,,
2024-04-16,Bloggers,,150.0,104,4529,,
2023-07-08,Facebook Ads,07.07.23LAL_DE,9.97,11,563,LAL1,b3
2023-07-08,Facebook Ads,04.07.23recentlymoved_DE,6.8,11,576,recentlymoved,b2
2023-07-08,Facebook Ads,03.07.23women,9.55,17,646,women,b3
2023-07-09,Facebook Ads,04.07.23recentlymoved_DE,1.7,3,127,recentlymoved,b3
2023-07-09,Facebook Ads,05.07.23interests_DE,0.04,0,2,interest_programming – Copy,b4
2023-07-09,Facebook Ads,05.07.23interests_DE,0.26,0,11,interest_programming – Copy,b2
2023-07-09,Facebook Ads,02.07.23wide_DE,0.61,0,36,wide,b2
2023-07-09,Facebook Ads,04.07.23recentlymoved_DE,8.48,21,719,recentlymoved,b2
2023-09-20,Bloggers,,148.5,256,4281,,
2024-05-27,Bloggers,,140.0,177,4897,,
2023-07-09,Facebook Ads,05.07.23interests_DE,1.12,2,102,interest_dataanalytics – Copy,b2
2024-05-12,Bloggers,,130.0,91,4544,,
2023-07-09,Facebook Ads,04.07.23recentlymoved_DE,0.04,0,5,recentlymoved,b4
2023-07-09,Facebook Ads,05.07.23interests_DE,2.14,3,189,interest_work,b3
2023-07-09,Google Ads,gen_analyst_DE,59.88,58,303,,
2023-07-09,Facebook Ads,05.07.23interests_DE,0.68,2,73,interest_work,b4
2024-05-23,Telegram posts,,130.0,121,16040,,
2024-01-24,Telegram posts,,128.2,473,18554,,
2023-07-09,Facebook Ads,07.07.23LAL_DE,1.0,2,61,LAL1,b2
2023-07-09,Facebook Ads,03.07.23women,0.01,0,2,women,b4
2023-07-09,Facebook Ads,07.07.23LAL_DE,10.43,11,660,LAL1,b3
2023-07-09,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v1
2023-07-09,Facebook Ads,03.07.23women,0.42,0,52,women,b2
2023-10-09,Telegram posts,,126.25,218,5545,,
2024-04-02,Telegram posts,,125.85,119,3407,,
2023-07-09,Facebook Ads,07.07.23LAL_DE,0.0,0,1,LAL1,b4
2023-07-09,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v2
2023-10-20,Bloggers,,120.0,508,4698,,
2023-07-09,Google Ads,performancemax_eng_DE,24.45,416,9846,,
2023-07-09,Facebook Ads,05.07.23interests_DE,0.02,0,2,interest_work,b1
2023-07-09,Facebook Ads,02.07.23wide_DE,13.54,19,924,wide,b3
2023-07-09,Facebook Ads,04.07.23recentlymoved_DE,0.13,1,3,recentlymoved,b1
2023-07-09,Facebook Ads,05.07.23interests_DE,6.1,6,533,interest_work,b2
2023-10-31,Bloggers,,120.0,29,11533,,
2023-07-09,Facebook Ads,03.07.23women,8.82,8,568,women,b3
2023-07-10,Facebook Ads,05.07.23interests_DE,0.0,0,2,interest_dataanalytics,b3
2023-07-10,Facebook Ads,05.07.23interests_DE,4.24,8,439,interest_work,b2
2023-07-10,Facebook Ads,02.07.23wide_DE,13.02,20,1229,wide,b3
2023-07-10,Facebook Ads,04.07.23recentlymoved_DE,8.51,15,830,recentlymoved,b2
2023-07-10,Facebook Ads,07.07.23LAL_DE,11.18,16,966,LAL1,b3
2023-07-10,Facebook Ads,02.07.23wide_DE,0.19,0,30,wide,b2
2023-07-10,Facebook Ads,05.07.23interests_DE,0.01,0,1,interest_dataanalytics,b2
2023-07-10,Facebook Ads,03.07.23women,9.55,12,838,women,b3
2023-07-10,Google Ads,performancemax_eng_DE,25.22,334,12337,,
2023-11-10,Bloggers,,120.0,118,4137,,
2023-07-10,Google Ads,gen_analyst_DE,59.96,39,231,,
2023-07-10,Facebook Ads,04.07.23recentlymoved_DE,0.0,0,0,recentlymoved,b1
2023-12-11,Bloggers,,120.0,201,4465,,
2023-07-10,Facebook Ads,04.07.23recentlymoved_DE,1.66,1,98,recentlymoved,b3
2023-12-19,Telegram posts,,120.0,465,13842,,
2023-07-10,Facebook Ads,05.07.23interests_DE,0.49,0,58,interest_programming,b4
2024-03-29,Telegram posts,,120.0,78,2221,,
2023-07-10,Facebook Ads,05.07.23interests_DE,0.91,3,108,interest_programming,b2
2023-07-10,Facebook Ads,03.07.23women,0.26,0,39,women,b2
2023-07-10,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v2
2023-07-10,Facebook Ads,05.07.23interests_DE,0.9,3,85,interest_work,b3
2023-09-15,Telegram posts,,119.0,134,4636,,
2024-05-14,Telegram posts,,119.0,81,3963,,
2023-07-10,Facebook Ads,07.07.23LAL_DE,0.0,0,1,LAL1,b1
2023-07-10,Facebook Ads,05.07.23interests_DE,1.66,7,173,interest_programming,b3
2023-07-10,Facebook Ads,04.07.23recentlymoved_DE,0.11,0,9,recentlymoved,b4
2023-07-10,Tiktok Ads,12.07.2023wide_DE,0.0,0,0,wide,v1
2023-07-10,Facebook Ads,05.07.23interests_DE,0.08,0,12,interest_programming,b1
2023-11-01,Bloggers,,115.0,33,21867,,
2023-07-10,Facebook Ads,05.07.23interests_DE,1.33,0,148,interest_work,b4
2024-01-15,Bloggers,,115.0,12,1708,,
2023-11-18,SMM,,110.0,13,0,,
2023-07-10,Facebook Ads,05.07.23interests_DE,0.8,1,58,interest_dataanalytics – Copy,b2
2023-07-10,Facebook Ads,07.07.23LAL_DE,0.44,0,53,LAL1,b2
